Epoch 0, lr 0.01
Epoch 207, lr 0.01

(207,600) 0 step loss : 0.000729
(207,600) epoch loss : 0.011665
Epoch 208, lr 0.01

(208,600) 0 step loss : 0.000701
(208,600) epoch loss : 0.011212
Epoch 209, lr 0.01

(209,600) 0 step loss : 0.000694
(209,600) epoch loss : 0.011111
Epoch 210, lr 0.01

(210,600) 0 step loss : 0.000686
(210,600) epoch loss : 0.010975
Epoch 211, lr 0.01

(211,600) 0 step loss : 0.000667
(211,600) epoch loss : 0.010673
Epoch 212, lr 0.01

(212,600) 0 step loss : 0.000667
(212,600) epoch loss : 0.010666
Epoch 213, lr 0.01

(213,600) 0 step loss : 0.000657
(213,600) epoch loss : 0.010516
Epoch 214, lr 0.01

(214,600) 0 step loss : 0.000649
(214,600) epoch loss : 0.010381
Epoch 215, lr 0.01

(215,600) 0 step loss : 0.000643
(215,600) epoch loss : 0.010292
Epoch 216, lr 0.01

(216,600) 0 step loss : 0.000631
(216,600) epoch loss : 0.010103
Epoch 217, lr 0.01

(217,600) 0 step loss : 0.000624
(217,600) epoch loss : 0.009986
Epoch 218, lr 0.01

(218,600) 0 step loss : 0.000621
(218,600) epoch loss : 0.009929
Epoch 219, lr 0.01

(219,600) 0 step loss : 0.000611
(219,600) epoch loss : 0.009771
Epoch 220, lr 0.01

(220,600) 0 step loss : 0.000612
(220,600) epoch loss : 0.009788
Epoch 221, lr 0.01

(221,600) 0 step loss : 0.000606
(221,600) epoch loss : 0.009690
Epoch 222, lr 0.01

(222,600) 0 step loss : 0.000596
(222,600) epoch loss : 0.009529
Epoch 223, lr 0.01

(223,600) 0 step loss : 0.000593
(223,600) epoch loss : 0.009492
Epoch 224, lr 0.01

(224,600) 0 step loss : 0.000601
(224,600) epoch loss : 0.009611
Epoch 225, lr 0.01

(225,600) 0 step loss : 0.000614
(225,600) epoch loss : 0.009826
Epoch 226, lr 0.01

(226,600) 0 step loss : 0.000605
(226,600) epoch loss : 0.009677
Epoch 227, lr 0.01

(227,600) 0 step loss : 0.000585
(227,600) epoch loss : 0.009359
Epoch 228, lr 0.01

(228,600) 0 step loss : 0.000589
(228,600) epoch loss : 0.009419
Epoch 229, lr 0.01

(229,600) 0 step loss : 0.000617
(229,600) epoch loss : 0.009869
Epoch 230, lr 0.01

(230,600) 0 step loss : 0.000700
(230,600) epoch loss : 0.011197
Epoch 231, lr 0.01

(231,600) 0 step loss : 0.000676
(231,600) epoch loss : 0.010810
Epoch 232, lr 0.01

(232,600) 0 step loss : 0.000690
(232,600) epoch loss : 0.011034
Epoch 233, lr 0.01

(233,600) 0 step loss : 0.000658
(233,600) epoch loss : 0.010532
Epoch 234, lr 0.01

(234,600) 0 step loss : 0.000652
(234,600) epoch loss : 0.010425
Epoch 235, lr 0.01

(235,600) 0 step loss : 0.000647
(235,600) epoch loss : 0.010356
Epoch 236, lr 0.01

(236,600) 0 step loss : 0.000643
(236,600) epoch loss : 0.010281
Epoch 237, lr 0.01

(237,600) 0 step loss : 0.000621
(237,600) epoch loss : 0.009935
Epoch 238, lr 0.01

(238,600) 0 step loss : 0.000619
(238,600) epoch loss : 0.009907
Epoch 239, lr 0.01

(239,600) 0 step loss : 0.000607
(239,600) epoch loss : 0.009718
Epoch 240, lr 0.01

(240,600) 0 step loss : 0.000595
(240,600) epoch loss : 0.009522
Epoch 241, lr 0.01

(241,600) 0 step loss : 0.000587
(241,600) epoch loss : 0.009399
Epoch 242, lr 0.01

(242,600) 0 step loss : 0.000583
(242,600) epoch loss : 0.009328
Epoch 243, lr 0.01

(243,600) 0 step loss : 0.000570
(243,600) epoch loss : 0.009118
Epoch 244, lr 0.01

(244,600) 0 step loss : 0.000562
(244,600) epoch loss : 0.008996
Epoch 245, lr 0.01

(245,600) 0 step loss : 0.000563
(245,600) epoch loss : 0.009004
Epoch 246, lr 0.01

(246,600) 0 step loss : 0.000562
(246,600) epoch loss : 0.008993
Epoch 247, lr 0.01

(247,600) 0 step loss : 0.000562
(247,600) epoch loss : 0.008997
Epoch 248, lr 0.01

(248,600) 0 step loss : 0.000582
(248,600) epoch loss : 0.009311
Epoch 249, lr 0.01

(249,600) 0 step loss : 0.000641
(249,600) epoch loss : 0.010255
Epoch 250, lr 0.01

(250,600) 0 step loss : 0.000732
(250,600) epoch loss : 0.011713
Epoch 251, lr 0.01

(251,600) 0 step loss : 0.000716
(251,600) epoch loss : 0.011454
Epoch 252, lr 0.01

(252,600) 0 step loss : 0.000721
(252,600) epoch loss : 0.011534
Epoch 253, lr 0.01

(253,600) 0 step loss : 0.000718
(253,600) epoch loss : 0.011495
Epoch 254, lr 0.01

(254,600) 0 step loss : 0.000719
(254,600) epoch loss : 0.011506
Epoch 255, lr 0.01

(255,600) 0 step loss : 0.000702
(255,600) epoch loss : 0.011239
Epoch 256, lr 0.01

(256,600) 0 step loss : 0.000684
(256,600) epoch loss : 0.010948
Epoch 257, lr 0.01

(257,600) 0 step loss : 0.000678
(257,600) epoch loss : 0.010850
Epoch 258, lr 0.01

(258,600) 0 step loss : 0.000656
(258,600) epoch loss : 0.010499
Epoch 259, lr 0.01

(259,600) 0 step loss : 0.000664
(259,600) epoch loss : 0.010630
Epoch 260, lr 0.01

(260,600) 0 step loss : 0.000642
(260,600) epoch loss : 0.010272
Epoch 261, lr 0.01

(261,600) 0 step loss : 0.000635
(261,600) epoch loss : 0.010163
Epoch 262, lr 0.01

(262,600) 0 step loss : 0.000627
(262,600) epoch loss : 0.010035
Epoch 263, lr 0.01

(263,600) 0 step loss : 0.000604
(263,600) epoch loss : 0.009658
Epoch 264, lr 0.01

(264,600) 0 step loss : 0.000599
(264,600) epoch loss : 0.009580
Epoch 265, lr 0.01

(265,600) 0 step loss : 0.000591
(265,600) epoch loss : 0.009456
Epoch 266, lr 0.01

(266,600) 0 step loss : 0.000584
(266,600) epoch loss : 0.009338
Epoch 267, lr 0.01

(267,600) 0 step loss : 0.000578
(267,600) epoch loss : 0.009242
Epoch 268, lr 0.01

(268,600) 0 step loss : 0.000562
(268,600) epoch loss : 0.008996
Epoch 269, lr 0.01

(269,600) 0 step loss : 0.000556
(269,600) epoch loss : 0.008901
Epoch 270, lr 0.01

(270,600) 0 step loss : 0.000544
(270,600) epoch loss : 0.008711
Epoch 271, lr 0.01

(271,600) 0 step loss : 0.000539
(271,600) epoch loss : 0.008628
Epoch 272, lr 0.01

(272,600) 0 step loss : 0.000529
(272,600) epoch loss : 0.008465
Epoch 273, lr 0.01

(273,600) 0 step loss : 0.000523
(273,600) epoch loss : 0.008375
Epoch 274, lr 0.01

(274,600) 0 step loss : 0.000520
(274,600) epoch loss : 0.008315
Epoch 275, lr 0.01

(275,600) 0 step loss : 0.000513
(275,600) epoch loss : 0.008213
Epoch 276, lr 0.01

(276,600) 0 step loss : 0.000523
(276,600) epoch loss : 0.008373
Epoch 277, lr 0.01

(277,600) 0 step loss : 0.000522
(277,600) epoch loss : 0.008344
Epoch 278, lr 0.01

(278,600) 0 step loss : 0.000537
(278,600) epoch loss : 0.008593
