Epoch 0, lr 0.001
(175,15010) epoch loss : 0.002510
Epoch 176, lr 0.001

(176,15010) 0 step loss : 0.002480
(176,15010) epoch loss : 0.002480
Epoch 177, lr 0.001

(177,15010) 0 step loss : 0.002463
(177,15010) epoch loss : 0.002463
Epoch 178, lr 0.001

(178,15010) 0 step loss : 0.002520
(178,15010) epoch loss : 0.002520
Epoch 179, lr 0.001

(179,15010) 0 step loss : 0.002466
(179,15010) epoch loss : 0.002466
Epoch 180, lr 0.001

(180,15010) 0 step loss : 0.002414
(180,15010) epoch loss : 0.002414
Epoch 181, lr 0.001

(181,15010) 0 step loss : 0.002408
(181,15010) epoch loss : 0.002408
Epoch 182, lr 0.001

(182,15010) 0 step loss : 0.002412
(182,15010) epoch loss : 0.002412
Epoch 183, lr 0.001

(183,15010) 0 step loss : 0.002453
(183,15010) epoch loss : 0.002453
Epoch 184, lr 0.001

(184,15010) 0 step loss : 0.002569
(184,15010) epoch loss : 0.002569
Epoch 185, lr 0.001

(185,15010) 0 step loss : 0.002712
(185,15010) epoch loss : 0.002712
Epoch 186, lr 0.001

(186,15010) 0 step loss : 0.002616
(186,15010) epoch loss : 0.002616
Epoch 187, lr 0.001

(187,15010) 0 step loss : 0.002488
(187,15010) epoch loss : 0.002488
Epoch 188, lr 0.001

(188,15010) 0 step loss : 0.002615
(188,15010) epoch loss : 0.002615
Epoch 189, lr 0.001

(189,15010) 0 step loss : 0.002475
(189,15010) epoch loss : 0.002475
Epoch 190, lr 0.001

(190,15010) 0 step loss : 0.002524
(190,15010) epoch loss : 0.002524
Epoch 191, lr 0.001

(191,15010) 0 step loss : 0.002510
(191,15010) epoch loss : 0.002510
Epoch 192, lr 0.001

(192,15010) 0 step loss : 0.002517
(192,15010) epoch loss : 0.002517
Epoch 193, lr 0.001

(193,15010) 0 step loss : 0.002534
(193,15010) epoch loss : 0.002534
Epoch 194, lr 0.001

(194,15010) 0 step loss : 0.002438
(194,15010) epoch loss : 0.002438
Epoch 195, lr 0.001

(195,15010) 0 step loss : 0.002495
(195,15010) epoch loss : 0.002495
Epoch 196, lr 0.001

(196,15010) 0 step loss : 0.002385
(196,15010) epoch loss : 0.002385
Epoch 197, lr 0.001

(197,15010) 0 step loss : 0.002417
(197,15010) epoch loss : 0.002417
Epoch 198, lr 0.001

(198,15010) 0 step loss : 0.002366
(198,15010) epoch loss : 0.002366
Epoch 199, lr 0.001

(199,15010) 0 step loss : 0.002374
(199,15010) epoch loss : 0.002374
Epoch 200, lr 0.001

(200,15010) 0 step loss : 0.002295
(200,15010) epoch loss : 0.002295
Epoch 201, lr 0.001

(201,15010) 0 step loss : 0.002332
(201,15010) epoch loss : 0.002332
Epoch 202, lr 0.001

(202,15010) 0 step loss : 0.002292
(202,15010) epoch loss : 0.002292
Epoch 203, lr 0.001

(203,15010) 0 step loss : 0.002254
(203,15010) epoch loss : 0.002254
Epoch 204, lr 0.001

(204,15010) 0 step loss : 0.002249
(204,15010) epoch loss : 0.002249
Epoch 205, lr 0.001

(205,15010) 0 step loss : 0.002200
(205,15010) epoch loss : 0.002200
Epoch 206, lr 0.001

(206,15010) 0 step loss : 0.002197
(206,15010) epoch loss : 0.002197
Epoch 207, lr 0.001

(207,15010) 0 step loss : 0.002175
(207,15010) epoch loss : 0.002175
Epoch 208, lr 0.001

(208,15010) 0 step loss : 0.002173
(208,15010) epoch loss : 0.002173
Epoch 209, lr 0.001

(209,15010) 0 step loss : 0.002165
(209,15010) epoch loss : 0.002165
Epoch 210, lr 0.001

(210,15010) 0 step loss : 0.002157
(210,15010) epoch loss : 0.002157
Epoch 211, lr 0.001

(211,15010) 0 step loss : 0.002121
(211,15010) epoch loss : 0.002121
Epoch 212, lr 0.001

(212,15010) 0 step loss : 0.002120
(212,15010) epoch loss : 0.002120
Epoch 213, lr 0.001

(213,15010) 0 step loss : 0.002083
(213,15010) epoch loss : 0.002083
Epoch 214, lr 0.001

(214,15010) 0 step loss : 0.002088
(214,15010) epoch loss : 0.002088
Epoch 215, lr 0.001

(215,15010) 0 step loss : 0.002095
(215,15010) epoch loss : 0.002095
Epoch 216, lr 0.001

(216,15010) 0 step loss : 0.002077
(216,15010) epoch loss : 0.002077
Epoch 217, lr 0.001

(217,15010) 0 step loss : 0.002072
(217,15010) epoch loss : 0.002072
Epoch 218, lr 0.001

(218,15010) 0 step loss : 0.002025
(218,15010) epoch loss : 0.002025
Epoch 219, lr 0.001

(219,15010) 0 step loss : 0.002079
(219,15010) epoch loss : 0.002079
Epoch 220, lr 0.001

(220,15010) 0 step loss : 0.002079
(220,15010) epoch loss : 0.002079
