Epoch 0, lr 0.001
(109,15010) 0 step loss : 0.045543
(109,15010) epoch loss : 0.045543
Epoch 110, lr 0.001

(110,15010) 0 step loss : 0.045033
(110,15010) epoch loss : 0.045033
Epoch 111, lr 0.001

(111,15010) 0 step loss : 0.044575
(111,15010) epoch loss : 0.044575
Epoch 112, lr 0.001

(112,15010) 0 step loss : 0.043945
(112,15010) epoch loss : 0.043945
Epoch 113, lr 0.001

(113,15010) 0 step loss : 0.042806
(113,15010) epoch loss : 0.042806
Epoch 114, lr 0.001

(114,15010) 0 step loss : 0.042256
(114,15010) epoch loss : 0.042256
Epoch 115, lr 0.001

(115,15010) 0 step loss : 0.042293
(115,15010) epoch loss : 0.042293
Epoch 116, lr 0.001

(116,15010) 0 step loss : 0.041423
(116,15010) epoch loss : 0.041423
Epoch 117, lr 0.001

(117,15010) 0 step loss : 0.040730
(117,15010) epoch loss : 0.040730
Epoch 118, lr 0.001

(118,15010) 0 step loss : 0.040566
(118,15010) epoch loss : 0.040566
Epoch 119, lr 0.001

(119,15010) 0 step loss : 0.040056
(119,15010) epoch loss : 0.040056
Epoch 120, lr 0.001

(120,15010) 0 step loss : 0.039316
(120,15010) epoch loss : 0.039316
Epoch 121, lr 0.001

(121,15010) 0 step loss : 0.039486
(121,15010) epoch loss : 0.039486
Epoch 122, lr 0.001

(122,15010) 0 step loss : 0.039545
(122,15010) epoch loss : 0.039545
Epoch 123, lr 0.001

(123,15010) 0 step loss : 0.039948
(123,15010) epoch loss : 0.039948
Epoch 124, lr 0.001

(124,15010) 0 step loss : 0.040272
(124,15010) epoch loss : 0.040272
Epoch 125, lr 0.001

(125,15010) 0 step loss : 0.040513
(125,15010) epoch loss : 0.040513
Epoch 126, lr 0.001

(126,15010) 0 step loss : 0.039311
(126,15010) epoch loss : 0.039311
Epoch 127, lr 0.001

(127,15010) 0 step loss : 0.038543
(127,15010) epoch loss : 0.038543
Epoch 128, lr 0.001

(128,15010) 0 step loss : 0.038971
(128,15010) epoch loss : 0.038971
Epoch 129, lr 0.001

(129,15010) 0 step loss : 0.038552
(129,15010) epoch loss : 0.038552
Epoch 130, lr 0.001

(130,15010) 0 step loss : 0.037635
(130,15010) epoch loss : 0.037635
Epoch 131, lr 0.001

(131,15010) 0 step loss : 0.037864
(131,15010) epoch loss : 0.037864
Epoch 132, lr 0.001

(132,15010) 0 step loss : 0.037119
(132,15010) epoch loss : 0.037119
Epoch 133, lr 0.001

(133,15010) 0 step loss : 0.036060
(133,15010) epoch loss : 0.036060
Epoch 134, lr 0.001

(134,15010) 0 step loss : 0.035893
(134,15010) epoch loss : 0.035893
Epoch 135, lr 0.001

(135,15010) 0 step loss : 0.034831
(135,15010) epoch loss : 0.034831
Epoch 136, lr 0.001

(136,15010) 0 step loss : 0.035210
(136,15010) epoch loss : 0.035210
Epoch 137, lr 0.001

(137,15010) 0 step loss : 0.035233
(137,15010) epoch loss : 0.035233
Epoch 138, lr 0.001

(138,15010) 0 step loss : 0.035287
(138,15010) epoch loss : 0.035287
Epoch 139, lr 0.001

(139,15010) 0 step loss : 0.035062
(139,15010) epoch loss : 0.035062
Epoch 140, lr 0.001

(140,15010) 0 step loss : 0.034076
(140,15010) epoch loss : 0.034076
Epoch 141, lr 0.001

(141,15010) 0 step loss : 0.033677
(141,15010) epoch loss : 0.033677
Epoch 142, lr 0.001

(142,15010) 0 step loss : 0.033154
(142,15010) epoch loss : 0.033154
Epoch 143, lr 0.001

(143,15010) 0 step loss : 0.032919
(143,15010) epoch loss : 0.032919
Epoch 144, lr 0.001

(144,15010) 0 step loss : 0.031978
(144,15010) epoch loss : 0.031978
Epoch 145, lr 0.001

(145,15010) 0 step loss : 0.031838
(145,15010) epoch loss : 0.031838
Epoch 146, lr 0.001

(146,15010) 0 step loss : 0.031877
(146,15010) epoch loss : 0.031877
Epoch 147, lr 0.001

(147,15010) 0 step loss : 0.032132
(147,15010) epoch loss : 0.032132
Epoch 148, lr 0.001

(148,15010) 0 step loss : 0.032751
(148,15010) epoch loss : 0.032751
Epoch 149, lr 0.001

(149,15010) 0 step loss : 0.033317
(149,15010) epoch loss : 0.033317
Epoch 150, lr 0.001

(150,15010) 0 step loss : 0.033166
(150,15010) epoch loss : 0.033166
Epoch 151, lr 0.001

(151,15010) 0 step loss : 0.031968
(151,15010) epoch loss : 0.031968
Epoch 152, lr 0.001

(152,15010) 0 step loss : 0.031580
(152,15010) epoch loss : 0.031580
Epoch 153, lr 0.001

(153,15010) 0 step loss : 0.031570
(153,15010) epoch loss : 0.031570
Epoch 154, lr 0.001

(154,15010) 0 step loss : 0.031002
(154,15010) epoch loss : 0.031002
Epoch 155, lr 0.001

(155,15010) 0 step loss : 0.030688
(155,15010) epoch loss : 0.030688
Epoch 156, lr 0.001

(156,15010) 0 step loss : 0.030231
(156,15010) epoch loss : 0.030231
Epoch 157, lr 0.001

(157,15010) 0 step loss : 0.030409
(157,15010) epoch loss : 0.030409
Epoch 158, lr 0.001

(158,15010) 0 step loss : 0.030004
(158,15010) epoch loss : 0.030004
Epoch 159, lr 0.001

(159,15010) 0 step loss : 0.029404
(159,15010) epoch loss : 0.029404
Epoch 160, lr 0.001

(160,15010) 0 step loss : 0.029062
(160,15010) epoch loss : 0.029062
Epoch 161, lr 0.001

(161,15010) 0 step loss : 0.028645
(161,15010) epoch loss : 0.028645
Epoch 162, lr 0.001

(162,15010) 0 step loss : 0.028324
(162,15010) epoch loss : 0.028324
Epoch 163, lr 0.001

(163,15010) 0 step loss : 0.028501
(163,15010) epoch loss : 0.028501
Epoch 164, lr 0.001

(164,15010) 0 step loss : 0.028607
(164,15010) epoch loss : 0.028607
Epoch 165, lr 0.001

(165,15010) 0 step loss : 0.028534
(165,15010) epoch loss : 0.028534
Epoch 166, lr 0.001

(166,15010) 0 step loss : 0.028943
(166,15010) epoch loss : 0.028943
Epoch 167, lr 0.001

(167,15010) 0 step loss : 0.028863
(167,15010) epoch loss : 0.028863
Epoch 168, lr 0.001

(168,15010) 0 step loss : 0.028182
(168,15010) epoch loss : 0.028182
Epoch 169, lr 0.001

(169,15010) 0 step loss : 0.027617
(169,15010) epoch loss : 0.027617
Epoch 170, lr 0.001

(170,15010) 0 step loss : 0.026677
(170,15010) epoch loss : 0.026677
Epoch 171, lr 0.001

(171,15010) 0 step loss : 0.026739
(171,15010) epoch loss : 0.026739
Epoch 172, lr 0.001

(172,15010) 0 step loss : 0.026516
(172,15010) epoch loss : 0.026516
Epoch 173, lr 0.001

(173,15010) 0 step loss : 0.025799
(173,15010) epoch loss : 0.025799
Epoch 174, lr 0.001

(174,15010) 0 step loss : 0.025981
(174,15010) epoch loss : 0.025981
Epoch 175, lr 0.001

(175,15010) 0 step loss : 0.025687
(175,15010) epoch loss : 0.025687
Epoch 176, lr 0.001

(176,15010) 0 step loss : 0.025640
(176,15010) epoch loss : 0.025640
Epoch 177, lr 0.001

(177,15010) 0 step loss : 0.025935
(177,15010) epoch loss : 0.025935
Epoch 178, lr 0.001

(178,15010) 0 step loss : 0.026175
(178,15010) epoch loss : 0.026175
Epoch 179, lr 0.001

(179,15010) 0 step loss : 0.026483
(179,15010) epoch loss : 0.026483
Epoch 180, lr 0.001

(180,15010) 0 step loss : 0.025782
(180,15010) epoch loss : 0.025782
Epoch 181, lr 0.001

(181,15010) 0 step loss : 0.025007
(181,15010) epoch loss : 0.025007
Epoch 182, lr 0.001

(182,15010) 0 step loss : 0.025146
(182,15010) epoch loss : 0.025146
Epoch 183, lr 0.001

(183,15010) 0 step loss : 0.025685
(183,15010) epoch loss : 0.025685
Epoch 184, lr 0.001

(184,15010) 0 step loss : 0.025558
(184,15010) epoch loss : 0.025558
Epoch 185, lr 0.001

(185,15010) 0 step loss : 0.025317
(185,15010) epoch loss : 0.025317
Epoch 186, lr 0.001

(186,15010) 0 step loss : 0.025413
(186,15010) epoch loss : 0.025413
Epoch 187, lr 0.001

(187,15010) 0 step loss : 0.025300
(187,15010) epoch loss : 0.025300
Epoch 188, lr 0.001

(188,15010) 0 step loss : 0.024550
(188,15010) epoch loss : 0.024550
Epoch 189, lr 0.001

(189,15010) 0 step loss : 0.024822
(189,15010) epoch loss : 0.024822
Epoch 190, lr 0.001

(190,15010) 0 step loss : 0.025030
(190,15010) epoch loss : 0.025030
Epoch 191, lr 0.001

(191,15010) 0 step loss : 0.024181
(191,15010) epoch loss : 0.024181
Epoch 192, lr 0.001

(192,15010) 0 step loss : 0.024124
(192,15010) epoch loss : 0.024124
Epoch 193, lr 0.001

(193,15010) 0 step loss : 0.024318
