Epoch 0, lr 0.0005
(151,420) 0 step loss : 0.000693
(151,420) epoch loss : 0.011095
Epoch 152, lr 0.0005

(152,420) 0 step loss : 0.000689
(152,420) epoch loss : 0.011027
Epoch 153, lr 0.0005

(153,420) 0 step loss : 0.000697
(153,420) epoch loss : 0.011145
Epoch 154, lr 0.0005

(154,420) 0 step loss : 0.000676
(154,420) epoch loss : 0.010813
Epoch 155, lr 0.0005

(155,420) 0 step loss : 0.000667
(155,420) epoch loss : 0.010668
Epoch 156, lr 0.0005

(156,420) 0 step loss : 0.000669
(156,420) epoch loss : 0.010708
Epoch 157, lr 0.0005

(157,420) 0 step loss : 0.000669
(157,420) epoch loss : 0.010702
Epoch 158, lr 0.0005

(158,420) 0 step loss : 0.000661
(158,420) epoch loss : 0.010582
Epoch 159, lr 0.0005

(159,420) 0 step loss : 0.000651
(159,420) epoch loss : 0.010413
Epoch 160, lr 0.0005

(160,420) 0 step loss : 0.000647
(160,420) epoch loss : 0.010352
Epoch 161, lr 0.0005

(161,420) 0 step loss : 0.000652
(161,420) epoch loss : 0.010431
Epoch 162, lr 0.0005

(162,420) 0 step loss : 0.000647
(162,420) epoch loss : 0.010345
Epoch 163, lr 0.0005

(163,420) 0 step loss : 0.000650
(163,420) epoch loss : 0.010403
Epoch 164, lr 0.0005

(164,420) 0 step loss : 0.000643
(164,420) epoch loss : 0.010287
Epoch 165, lr 0.0005

(165,420) 0 step loss : 0.000654
(165,420) epoch loss : 0.010462
Epoch 166, lr 0.0005

(166,420) 0 step loss : 0.000646
(166,420) epoch loss : 0.010341
Epoch 167, lr 0.0005

(167,420) 0 step loss : 0.000651
(167,420) epoch loss : 0.010411
Epoch 168, lr 0.0005

(168,420) 0 step loss : 0.000656
(168,420) epoch loss : 0.010493
Epoch 169, lr 0.0005

(169,420) 0 step loss : 0.000648
(169,420) epoch loss : 0.010361
Epoch 170, lr 0.0005

(170,420) 0 step loss : 0.000635
(170,420) epoch loss : 0.010152
Epoch 171, lr 0.0005

(171,420) 0 step loss : 0.000631
(171,420) epoch loss : 0.010104
